index,cafe,review,친절해요,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,음료가 맛있어요,대화하기 좋아요,사진이 잘 나와요,뷰가 좋아요,가성비가 좋아요,집중하기 좋아요
3869,에디션덴마크 서울숲 쇼룸,티 메뉴 많아요 브런치도 맛있어요,0,0,0,1,0,0,0,0,0,0,0
1186,마농트로포,블루리본 많은만큼 맛있어요 시그니처 먹었는데 자몽이 듬뿍 들어 있어서 과육 씹히는 게 좋아요 사장님 친절하시고 다른데보다 커피양도 많아서 좋아요,1,0,0,1,0,0,0,0,0,0,0
2996,리틀하우스,넘 따뜻하고 예쁜 공간이었어요 음료와 잠봉뵈르도 맛있었어용,0,0,1,1,0,1,0,0,0,0,0
2298,삼 원 샏,오픈시간에 가서 그런지 한적하니 나른했고 헤이즐넛 초코 케이크는 누구나 좋아할 맛이었어요,0,0,0,1,0,0,0,0,0,0,0
3592,짜드라,어제 다녀가고 이제 올리네요 새로나온 샌드위치 불고기랑 할라피뇨랑 잘 어울려요 빵이 푸석하지 않고 촉촉해서 맛있습니다,0,0,0,1,0,0,0,0,0,0,0
3303,세마카페,미술관에 전시보러 올 때마다 커피는 꼭 여기서 마십니다,0,0,0,0,0,0,0,0,0,0,0
2420,꽁상뜨레,여기만 오면 뭘하든 집중 시간 이상 쌉가능이에요 과제 책읽기 자소서 여기만 오면 클리어됨 자주와서 여러 메뉴를 먹어봤는데 다 맛있어요 특히 샹스와 오렌지음료는 진짜 제취향 화장실도 내부에 있어서 너무 좋아요,0,0,0,0,1,1,0,0,0,0,1
4173,옹근달,무난한 맛 사람이 많아서 주문할 때 번잡스러웠다 층은 공간이 넓고 천장이 높아 소리가 울려서 가만히 이야기 나누기엔 적합하지 않다 구석구석 조용한 자리들도 있다 특히 루프탑 올라가는 쪽 창가에 바 좌석이 좋아보였음,0,0,0,0,0,0,0,0,0,0,1
4106,CLASKA,엄청 친절해요 케이크가 비싼데 계속 추가하게 되는 맛이에요 특히 붉은 과일의 비밀은 꼭 드세요 인 붉은 과일의 비밀 필수입니다,1,0,0,0,0,0,0,0,0,0,0
3607,스마일명품꽈배기 을지로점,조아요 자주 갑니다,0,0,0,0,0,0,0,0,0,0,0
4097,망티커피 성수점,내가 좋아하는 옐로우 분위기 아아 맛있어요,0,1,1,0,0,0,0,0,0,0,0
3276,음악과사람들,위치도 가깝고 싸요,0,0,0,0,0,0,0,0,0,1,0
2425,꽁상뜨레,카페 인테리어랑 분위기 너무 좋아요 커피도 맛있고 조용해서 할 일에 집중하기 좋았습니다 화장실도 깨끗하고 사용하기 편했어 요 그리고 디저트도 새로 나온거 같은데 맛있었습니다 저녁에 오면 더 멋있을거 같아서 다음엔 저녁에 방문하려구요 동네에 새 로운 카페 발견해서 좋았습니다,0,1,1,1,1,0,0,0,0,0,0
3196,퍼피커피,카페 내부는 깨끗하고 자몽에이드도 맛이있엇어요 강아지 마시는 퍼푸치노는 우리 강아지는 거품만 거의 먹엇어요 강아지를 풀어서 놀 수 잇어서 좋고 예쁘게 사진 찍는 데도 있어서,0,0,0,0,1,1,0,1,0,0,0
16,아키비스트,드디어 와본 아키비스트 대표 색상이 그린그륀 요즘 계절에 딱이네요 사람들 엄 청 붐비는 주말 그리고 최고절정의 시간에 방문했어요 맛있어요 익선동의 한 카페 맛이랑 똑같아서 맛있게 잘 마셨어요 그리고 제일 합리적인건 테이크아웃시 할인이에요 완전 최고 그리고 마지막으로 화장실 세정워시 향도 느므 쪼아요,0,1,0,0,1,0,0,0,0,1,0
2488,책읽는고양이,여유즐기기 좋은 곳,0,0,0,0,0,0,0,0,0,0,1
1094,헤이마,년만에 재방문 포인트샐겨서 사진찍고 날좋아서힐링하고갑니다 빵값이터무니없이비쌈 맛잇는것도아니고,0,0,0,0,0,0,0,0,0,0,0
2184,브라운 에비뉴,루꼴라 향이 유독 좋네요 진짜맛있어요 그리고 매장 엔틱풍 감성 정말 최고에요,0,0,1,0,0,0,0,0,0,0,0
34,효자베이커리,대표빵은 못 샀지만 오랜만에 가니 정감있고 좋네요 예전엔 젊은 남자 사장님이 안계셨던 것 같은데 파이팅 넘치고 친절하셔서 좋더라고요,1,0,0,0,0,0,0,0,0,0,0
3066,러시아케익,케이크들 너무 맛있어요 메도빅 꿀케이크 사워크림도 나폴레옹도 맛있네요 땅콩버터와 연유가 들어간 와플도 강추입니다 재방문의사,0,0,0,1,0,0,0,0,0,0,0
3686,카페 라미스콘 청담점,근처에 회사가있어서 산책하다가 아무생각없이 들어갔던 곳이 자주찾는 디저트카페가되었어요 직원분들도 다들 착하시고 인테리어도 목재로 되어있어서 쉬다가기 좋은곳이에요,1,0,1,1,0,0,0,0,0,0,0
277,금옥당 인사점,시판 연양갱 먹다 이런 수제 양갱 먹으니 뭐가 맞는 건지 모를 쫀득한 식감 생각했다면 약간 당황할 수도 비누 자르듯 터억 잘립니다 밤 팥 흑임자 밀크티 샀는데 그냥 신기한 맛이다 한번 느낄 맛 양갱 좋아하시는 분께 선물용으로 최적일 듯 단 거 안 좋아하는 분은 마찬가지로 그래도 연양갱보다는 덜 단 거라고 합니다,0,0,0,0,0,0,0,0,0,0,0
153,푸른 양귀비,과거 티벳 박물관으로 운영되고 있다가 현재는 박물관형 카페로 바뀌었다고 해야하나 들어가자마자 어 이거 뭐지 하며 카페 안을 둘러보게 되는데요 층에 올라가면 비로소 푸른양귀비의 진가를 알게 되요,0,0,1,0,0,0,0,0,0,0,0
2244,달팽이카페,커피향이 너무 좋아요 에그베네딕트도 일품,0,0,0,0,0,0,0,0,0,0,0
1612,파머스반 브레드,매장이 굉장히 깨끗하고 가성비가 좋아요 비건 노버터 등의 건강빵을 주로 판매하시는데 크기도 대박이고 가격도 저렴해서 굿굿 단팥빵이 제일 유명하다는데 오후 시쯤 가니 이미 품절이네요 아쉬운대로 크림빵이랑 이것저것 가져왔습니다 시금치 치아바타랑 비건 루스틱 먹어보니 진짜 맛있어요 치아바타는 완전 부드럽구 진짜 루스틱은 딱딱한 바게트 식감인데 비건 아닌 빵들과,0,0,0,1,1,0,0,0,0,1,0
4415,푼토돌체,정말 오랜만에 이탈리아식 디저트를 다시 서울에서 즐길 수 있게 된 것 같네요 메뉴가 다양해서 여러차례 방문해서 다 즐겨보고 싶네요,0,0,0,1,0,0,0,0,0,0,0
